,Volume (L),X_B,y_B,y_D,y_H,y_T
0,0.0,0.0,1.0,0.0,0.0,0.0
1,10.0,0.03151507501393001,0.96848492498607,0.015649639210491704,0.0157935036057895,7.193219764889614e-05
2,20.0,0.06118796285294727,0.9388120371470526,0.030181716438483275,0.030731403089137164,0.0002748433253269471
3,30.0,0.08912761057745713,0.9108723894225428,0.04367626225046126,0.044859652968151045,0.0005916953588448881
4,40.0,0.11543683640430039,0.8845631635956994,0.056207397487306104,0.05822209177376492,0.0010073471432294207
5,50.0,0.140213193777047,0.8597868062229529,0.06784425154256554,0.0708607120038429,0.0015082302306387084
6,60.0,0.16354897136599622,0.8364510286340036,0.07865096236245463,0.08281566012317931,0.0020823488803623775
7,70.0,0.18553119306817606,0.8144688069318239,0.08868667644585587,0.09412523656349879,0.002719280058821517
8,80.0,0.20624699159037457,0.7937530084096254,0.09800999451665508,0.10482799622136478,0.003409000852354852
9,90.0,0.2257740871550126,0.7742259128449873,0.10667192773393461,0.11495874885869692,0.004143410562381156
10,100.0,0.24417809247836134,0.7558219075216387,0.11471395847633468,0.12454740882679605,0.004916725175230685
11,110.0,0.2615221987043105,0.7384778012956893,0.12217583310171701,0.13362285476896804,0.005723510833625515
12,120.0,0.27786718490296347,0.7221328150970364,0.12909556962248614,0.14221293339448035,0.006558681885997094
13,130.0,0.29327141807063706,0.7067285819293628,0.13550945770558923,0.1503444594785617,0.007417500886486216
14,140.0,0.3077908531298614,0.6922091468701385,0.14145205867251615,0.15804321586240225,0.008295578594943034
15,150.0,0.32147903292938,0.6785209670706199,0.14695620549929944,0.16533395345315363,0.009188873976927059
16,160.0,0.3343870882441503,0.6656129117558497,0.1520530028165144,0.17224039122392884,0.010093694203707159
17,170.0,0.3465637377753427,0.6534362622246572,0.15677182690927893,0.17878521621380222,0.011006694652261562
18,180.0,0.3580552881503412,0.6419447118496587,0.16114032571725379,0.1849900835278096,0.011924878905277847
19,190.0,0.36890563392274334,0.6310943660772566,0.1651844188346421,0.19087561633694825,0.01284559875115295
20,200.0,0.3791563439304339,0.620843656069566,0.16892831233154862,0.19646145850977306,0.01376657308911224
21,210.0,0.3888462652644905,0.6111537347355094,0.17239328949566146,0.20176641367777323,0.014686562091055896
22,220.0,0.3980049823588284,0.6019950176411715,0.1755952138950389,0.20680491694087266,0.015604851522916878
23,230.0,0.40665932418195094,0.5933406758180491,0.17854868910361404,0.211589986420096,0.016520648658240975
